Species,Order,Mass (g),Tb (°C),Tlc (°C),BMR (mlO2/hour),CMIN ,BMR residuals,CMIN residuals,A,I,References
Buteo buteo,Accipitriformes,1012,39.8,13,646.3,24.12,0.05,-0.06,-0.11,0.56,
Anas aucklandica,Anseriformes,373.1,41.3,30,322.7,28.56,0.02,0.23,0.21,1,
Anas castanea,Anseriformes,483.3,41.5,24,327.9,18.74,-0.04,-0.01,0.03,0,
Anas gracilis,Anseriformes,393.7,41.3,30,572.7,50.68,0.26,0.47,0.21,1,
Anas rhynchotis,Anseriformes,508,40.9,22,452.7,23.95,0.08,0.09,0.01,1,
Aythya novaeseelandiae,Anseriformes,488.4,40,16,401.5,16.73,0.04,-0.06,-0.1,0.6,
Hymenolaimus malacorhynchos,Anseriformes,717.1,41,12,540.6,18.64,0.07,-0.1,-0.17,0.59,
Tadorna variegata,Anseriformes,1193.6,40.2,22,575.5,31.62,-0.05,0.02,0.07,0.26,
Collocalia esculenta,Apodiformes,6.8,38.2,31.5,13.9,2.07,-0.22,-0.02,0.2,0,
Collocalia vanikorensis,Apodiformes,11.6,38.9,30,20.6,2.31,-0.2,-0.09,0.11,0,
Aegotheles cristatus,Caprimulgiformes,45.56,38.2,31,55.9,7.76,-0.15,0.13,0.28,0.46,
Caprimulgus macrurus,Caprimulgiformes,68.6,38.1,26,53.5,4.42,-0.28,-0.21,0.07,0,
Caprimulgus vociferus,Caprimulgiformes,46,37,25,55.9,4.66,-0.15,-0.09,0.06,0,
Chordeiles minor,Caprimulgiformes,72,40,30,76,7.6,-0.14,0.02,0.16,0.12,
Eurostopodus mystacalis,Caprimulgiformes,162,40.1,30,82.7,8.19,-0.33,-0.13,0.2,0,
Phalaenoptilus nuttallii,Caprimulgiformes,40,40.2,35,30.6,5.88,-0.37,0.04,0.41,0.09,
Podargus strigoides,Caprimulgiformes,380.3,38.6,30,177.8,20.67,-0.24,0.09,0.33,0.26,
Calidris alpina,Charadriiformes,53,37.6,28.2,83.2,8.85,-0.02,0.15,0.17,0.88,
Calidris minuta,Charadriiformes,29,39,28,53.1,4.83,-0.05,0.02,0.07,0.32,
Cepphus grylle,Charadriiformes,342.2,39.9,7,520.1,15.81,0.26,-0.01,-0.27,0.03,
Haematopus ostralegus,Charadriiformes,385.4,39.1,19,524.4,26.09,0.23,0.18,-0.05,0,
Pluvialis apricaria,Charadriiformes,151,38.9,18,213.7,10.22,0.1,-0.02,-0.12,0.13,
